"E:\Python 3.6.8\python.exe" E:/book_related_method/data/data_process.py
F02P 1
D21C 1
D01B 1
D02G 1
C21B 1
C02F 1
A41G 1
A23K 1
B27J 1
B25C 1
B67B 1
G06D 1
D01F 1
EP 1
G10C 1
B21F 1
B26B 1
A01N 1
E04D 1
B31B 1
B60D 1
B26F 1
B03B 1
G16Z 1
G06E 2
D05C 2
D21F 2
F02G 2
H01T 2
A45F 2
F16T 2
F42C 2
H05H 2
F02K 2
A41H 2
A43D 2
E05C 2
A41B 2
A23G 2
G21F 2
G10G 2
F25C 2
C08L 2
A23C 2
F02B 2
D07B 2
B27N 2
A41F 2
B06B 2
B04B 2
G09C 2
A61P 2
A21C 2
B81B 2
G03G 2
F23D 2
E06C 2
B27K 2
B42F 2
A45B 2
G04R 2
B63J 2
B61F 2
F23Q 2
F42B 2
D06B 2
F24B 3
B62H 3
A63D 3
A23P 3
B41K 3
F01L 3
B03D 3
A46B 3
G06C 3
B44B 3
B41M 3
B31F 3
A22C 3
B67C 3
B23D 3
G01Q 3
F16B 3
H03G 3
A23N 3
B61H 3
B81C 3
F01P 3
A47K 4
B27B 4
B24C 4
F28B 4
A99Z 4
D03C 4
B65C 4
B44C 4
G10D 4
F21K 4
F22G 4
F41B 4
A63J 4
A21B 4
D01G 4
H04S 4
A22B 4
B26D 4
B28D 4
B42B 4
E03C 4
F41A 4
B60V 4
B43L 5
F23J 5
B25B 5
D01D 5
B23B 5
B29B 5
D04B 5
F17C 5
E01D 5
A23B 5
A43C 5
B25F 5
G04B 5
A63C 6
H01P 6
B23G 6
B21C 6
B28B 6
F01K 6
B32B 6
D06H 6
F02N 6
B21H 6
B22C 6
E04B 6
B05D 6
G05G 6
E21C 7
A47H 7
A47F 7
F42D 7
F41G 7
E01F 7
F21L 7
E04G 7
B28C 7
B22F 7
E05G 7
D01H 7
B67D 7
F04C 7
F41H 8
B62J 8
G03H 8
A47D 8
D03D 8
F23M 8
E03F 8
B42D 8
F16F 8
B64B 8
H01S 9
A24F 9
H01B 9
B05C 9
H04K 9
B09C 9
G16C 9
B30B 10
B25H 10
G21C 10
B23H 10
B63G 10
E06B 10
B60F 10
A63G 10
G06G 11
B65H 11
G10K 11
F02M 11
B41F 11
A62B 11
B66D 11
B60B 11
B43K 12
E03B 12
F23G 12
B64G 12
F16N 12
H01F 12
A23L 12
G02F 12
H03F 13
F41J 13
E01B 13
A61L 13
F03B 13
B61D 13
B63H 13
F22B 14
B60J 14
F25B 14
F02C 14
H01Q 14
B63C 14
G04G 15
B62K 15
B09B 15
B01L 15
F16L 15
H04J 15
B60G 15
B21J 16
F26B 16
B60M 16
B65B 16
A45C 17
A44C 17
B07B 17
A45D 17
F16D 17
F23C 17
F01N 17
B62M 17
F24J 17
H03L 18
H02N 18
B03C 18
H04H 18
G02C 19
A41D 19
F21V 20
F15B 20
B60C 20
E21D 21
H03H 21
B62B 21
E04F 21
B41J 21
B05B 22
B01J 22
F27D 22
H03K 23
F01D 23
F27B 23
G01T 23
A42B 23
H01J 23
A24B 23
A43B 24
A23F 24
G01P 24
B60H 25
B60P 25
H03M 26
H01H 26
A01H 26
A61J 26
H02G 26
H02K 26
G16B 26
B23P 28
F16K 28
E02D 29
B01F 29
E02F 30
E02B 30
F16H 30
A61C 30
G06M 30
H02M 31
F04B 31
G01G 31
B61B 31
F23N 32
B66F 32
G03B 34
G03F 34
H02S 35
G07G 35
H02B 36
G05F 36
B61K 36
F24C 37
G01W 38
B02C 38
E03D 39
E05F 40
B64F 40
A01B 40
A01D 43
B22D 43
F24D 44
B65D 45
G11C 46
H01M 46
E01H 46
B60S 47
A47G 50
F17D 50
E05B 51
G10H 52
G09G 53
D06F 53
A47C 54
A61K 54
G01F 54
E01C 55
G07B 56
F24H 56
F02D 56
B24B 57
A01C 57
B63B 59
H01R 59
B08B 59
B61C 59
G07D 62
B65F 62
G01L 63
E21F 63
G01K 64
B66C 66
B23Q 66
A62C 66
G09F 67
B29C 67
G01H 68
B21D 68
H05K 70
G01J 70
A61G 70
F03D 74
E04H 74
H02P 76
B21B 76
G02B 80
A47L 80
G11B 82
B60N 82
A47J 84
B60K 86
F04D 88
B01D 89
F16M 91
H02H 93
A01M 93
F21S 94
A63H 98
F25D 101
E21B 103
A61M 106
B23K 109
B65G 117
A61H 125
B64D 126
A47B 128
B60Q 128
A61N 132
B07C 138
G08C 153
H01L 154
H04Q 156
B60T 157
B61L 166
B64C 168
H04R 175
A63B 176
A61F 180
B60L 183
G07F 185
G01V 195
H05B 199
A01K 208
B66B 209
G01B 215
A63F 243
G01D 293
H04B 306
A01G 307
B62D 311
F24F 361
G07C 432
-1 438
G01M 464
G01S 506
B60R 525
G01C 683
B25J 692
H04M 715
G08B 737
B60W 770
G16H 887
H02J 907
H04W 1023
G09B 1086
G01R 1121
G08G 1334
A61B 1565
G05D 1657
G06T 1870
G06N 1994
G01N 2060
H04N 2105
G05B 2992
sear 3590
G10L 3757
H04L 4992
G06K 5617
G06Q 6495
G06F 19973

Process finished with exit code 0
