	compare_ID	compare_content	SAO1	target_ID	target_content	SAO2	Dice	Inclusion	Lcs	Jac	Euclidean	Pearson	Spearman	Lin	Extended_SD	Leacock	Wu	Resnik	Jiang
0	CN2539559Y	、一种原油超声波电场联合脱盐装置，包括电脱盐罐、超声波作用区、超声波探头、超声波发生器，其特征在于，在原油进入电脱盐罐前的管道上，安装的超声波作用区的轴线与原油的流动方向一致。	('CN2539559Y', '^_^(原油, 超声波, 电场);^_^(超声波, 电场, 联合);^_^(包括, 超声波发生器);(原油, 进入, 电脱)')	CN2810716Y	、一种乳化液的超声波破乳装置，其设有超声波探头及与其电连接的超声波发生器，其特征在于：超声波探头安装在管状的过渡连接装置上，过渡连接装置的两端分别连接有管状的前置超声波作用区及后置超声波作用区，超声波探头由前置超声波探头及后置超声波探头组成，前置超声波探头所发射的超声波仅作用于前置超声波作用区，并且超声波的发射方向与前置超声波作用区内的液体流动方向相反，后置超声波探头所发射的超声波仅作用于后置超声波作用区，并且超声波的发射方向与后置超声波作用区内的液体流动方向相同。	('CN2810716Y', '^_^(超声波, 破乳, 装置);^_^(设有, 探头);(安装在, 管状);(有, 管状);(前置, 超声波探头);(后置, 超声波);(探头, 组成);(前置, 作用于);(发射, 方向);(前置, 超声波);(流动方向, 相反);(后置, 作用于);(发射, 方向);(后置, 超声波)')	0.5	0.5	1.5	0.5	155.5119813	12.91693476	12.95532663	0.151008748	0.046666667	0.34657359	0.25	1.940149305	0.086205513
1	CN1589947A	一种顺流和逆流超声波联合作用使油水乳化物破乳的方法，其特征在于：在油水的流动方向上设置至少一个超声波作用区，超声波作用区的中轴线方向与油水流经超声波作用区的流动方向一致，该超声波作用区产生与油水流动方向同向的顺流超声波和反向的逆流超声波，顺流超声波和逆流超声波同时作用于流经该作用区的油水。。一种使用权利要求所述方法的破乳装置，超声波作用区为管道式结构并与油水管线相连接，其特征在于超声波作用区管道的两端各安装一个超声波探头，分别产生与油水流动方向同向的顺流超声波和反向的逆流超声波，超声波探头与超声波发生器通过超声波功率线相连。	('CN1589947A', '^_^(作用, 使, 方法);(方向, 流经);(顺流, 超声波);(顺流, 超声波);(流经, 作用区);(超声波, 作用于);^_^(破乳, 装置);^_^(为, 结构);(作用, 安装, 探头);(顺流, 超声波);(线, 相连)')	CN2810716Y	、一种乳化液的超声波破乳装置，其设有超声波探头及与其电连接的超声波发生器，其特征在于：超声波探头安装在管状的过渡连接装置上，过渡连接装置的两端分别连接有管状的前置超声波作用区及后置超声波作用区，超声波探头由前置超声波探头及后置超声波探头组成，前置超声波探头所发射的超声波仅作用于前置超声波作用区，并且超声波的发射方向与前置超声波作用区内的液体流动方向相反，后置超声波探头所发射的超声波仅作用于后置超声波作用区，并且超声波的发射方向与后置超声波作用区内的液体流动方向相同。	('CN2810716Y', '^_^(超声波, 破乳, 装置);^_^(设有, 探头);(安装在, 管状);(有, 管状);(前置, 超声波探头);(后置, 超声波);(探头, 组成);(前置, 作用于);(发射, 方向);(前置, 超声波);(流动方向, 相反);(后置, 作用于);(发射, 方向);(后置, 超声波)')	10.49404762	10.41666667	27	9.266666667	928.9283254	59.44053777	59.00387685	3.001482695	0.2128	4.965735903	4	20.79093935	1.933635354
2	CN2183492Y	一种管道用高温高声强超声波防垢器，包括超声波开关电源，特种水声电缆及高温高声强压电式声波换能器，其特征是声波换能器位于同液流介质相连接的短节管的轴线上，换能器两端分别由数根支承杆固定，短节管上设有实现密封的接头，一引线管一端插于密封接头中，另一端连接密封于上接头，通过设于短节上的密封接头，特种水声电缆一端接于超声波电源的输出端，另一端同换能器电连接。	('CN2183492Y', '^_^(管道用, 高温);^_^(超声波, 防垢器);^_^(包括, 电源);^_^(电缆, 强压, 换能器);(连接, 轴线);(换能器, 位于, 轴线);(实现, 密封接头);(设有, 密封接头);(一端, 插于, 密封接头);(密封于, 上接头);(设, 密封接头);(设于, 短节);(电缆, 端接于, 电源)')	CN2810716Y	、一种乳化液的超声波破乳装置，其设有超声波探头及与其电连接的超声波发生器，其特征在于：超声波探头安装在管状的过渡连接装置上，过渡连接装置的两端分别连接有管状的前置超声波作用区及后置超声波作用区，超声波探头由前置超声波探头及后置超声波探头组成，前置超声波探头所发射的超声波仅作用于前置超声波作用区，并且超声波的发射方向与前置超声波作用区内的液体流动方向相反，后置超声波探头所发射的超声波仅作用于后置超声波作用区，并且超声波的发射方向与后置超声波作用区内的液体流动方向相同。	('CN2810716Y', '^_^(超声波, 破乳, 装置);^_^(设有, 探头);(安装在, 管状);(有, 管状);(前置, 超声波探头);(后置, 超声波);(探头, 组成);(前置, 作用于);(发射, 方向);(前置, 超声波);(流动方向, 相反);(后置, 作用于);(发射, 方向);(后置, 超声波)')	1.069444444	1.166666667	3	0.821428571	1363.008061	80.15860618	79.9579772	0.658440157	0.032592593	0.84657359	0.75	2.535627495	0.956204407
3	CN2188122Y	、一种汽车方向盘锁，包含有两个可作相对移动的第一锁座、第二锁座及一锁芯组，其中第一锁座一端延设固接有一适当长度的抵靠杆，且在座体中适当位置处固设有一锁芯组，其特征在于：第一锁座可一体成型制成，其前端为一呈拳头上半端状的座体，座体前端两侧分别设有嵌掣槽，其后端设有一个朝下伸展的半圆套环，和一个向后伸展的半圆体，以与抵靠杆接合，在半圆体上开设一槽孔，内装一弹簧及一钢珠，并以一柱塞封闭定位；在拳头状座体后方的腕部适当部位设一锁芯孔，此孔向下伸展成一筒座，在筒座上设有一导槽及一嵌槽；第二锁座的前端为一呈拳头下半端状的座体，座体前端上设有两个嵌扣块，并设一基本上按方向盘的环框的弧度设置的弧槽，座体恰可与第一锁座的座体通过嵌扣块与嵌掣槽相接合成一完整的拳头，座体在后端伸出一个半圆状的枢接杆，该枢接杆可穿经第一锁座的半圆套环伸入抵靠杆内并可前后移动；该枢接杆的上面设有一凹槽，在凹槽内对应于第一锁座的锁芯孔的部位设一凹孔，并在凹槽的前后相应部位分别设置定位窝，以及在后面部位固定一止挡销，令装设于第一锁座座体后面的半圆体的槽孔中的钢珠可对应嵌入定位窝内，并使第一、二锁座相对移动至一定位置时被止挡销挡住而不致脱离；藉此结构，可利用第二锁座座体的弧槽套入方向盘的环框，而以第一锁座相对套合嵌固，将环框包围夹扣，令锁具无法以环框为枢轴旋转，而藉抵靠杆抵靠着车内的一适当部位来防止方向盘自由转动，达致防止盗车的效果。	('CN2188122Y', '^_^(作, 锁座);^_^(有, 锁座);^_^(包含, 锁座);^_^(两个, 作, 锁座);^_^(有, 长度)')	CN2734569Y	、一种汽车方向盘锁，在锁体前端设由二同型略弯弧呈半圆形对设的扣体，该二扣体之间穿设有伸缩锁杆，使二扣体作张开及扣合操作，二扣体内部设容置槽，锁体上设有锁座，锁座一侧设有钥匙插孔，于锁体后方连接有一抵掣杆；其特征在于，扣体下方缘边设有弧形缺口，供弧跨于方向盘的支杆，使二扣体确实扣掣方向盘锁定。	('CN2734569Y', '^_^(设, 弯弧);^_^(呈, 半圆形);^_^(伸缩, 锁杆);^_^(有, 锁杆);^_^(使, 张开);^_^(扣, 体内);^_^(设有, 锁座);^_^(设有, 插孔);^_^(抵, 掣杆);(设有, 缺口);(跨, 支杆);(供弧, 支杆);(跨于, 方向盘);(扣, 方向盘);(使, 方向盘)')	7	7	11	6.333333333	415.1085656	33.68692229	33.46316433	3	0.104	3	3	3	3
4	CN2441824Y	、一种新型送纬箭，主要是由固定螺钉、箭头基座、纬纱夹纱器、底板、定位叉口和导轨组成，其特征在于：定位叉口的尾端设有一挡纱柱。	('CN2441824Y', '^_^(是, 组成);(定位, 叉口);(尾端, 定位, 叉口);(定位, 尾端);(尾端, 设有, 纱柱)')	CN2858688Y	、一种剑杆织机剑头上的夹纱器结构，它包括上片、安装穿孔、上片夹纱面、凸肩、下片、下片夹纱面，其特征在于上片的上片夹纱面设有若干条细槽；下片的下片夹纱面设有若干条细槽，下片的凸肩通过上片安装穿孔安装在一起，上片夹纱面与相对应下片夹纱面贴合在一起。	('CN2858688Y', '^_^(包括, 上片);^_^(安装, 穿孔);^_^(凸肩, 下片);^_^(下片, 下片);(设有, 细槽);(设有, 细槽);(下片, 凸肩);(凸肩, 安装, 穿孔);(安装在, 一起);(贴合在, 一起)')	1	1	1	1	281.6311879	19.23905208	19.06371109	1	0.042666667	1	1	1	1
5	CN1498294A	一种剑杆织机的接纱器，在该接纱器的前端上设有一个带一夹紧面的夹紧钩，该夹紧面配有一个可绕一转动轴线转动地支承的双臂杠杆的头部的一配合夹紧面，其特征在于，该杠杆的头部的前端和该夹紧钩配备有相互嵌接的导向结构，，这些导向结构在该杠杆的转动轴线的轴向上引导该杠杆的头部。	('CN1498294A', '^_^(带, 夹紧面);^_^(设有, 夹紧面);^_^(有, 轴线);^_^(一个, 绕, 轴线);^_^(支承, 头部);^_^(头部, 配合, 夹紧面);(接, 导向结构);(有, 导向结构);(导向结构, 引导, 头部)')	CN2858688Y	、一种剑杆织机剑头上的夹纱器结构，它包括上片、安装穿孔、上片夹纱面、凸肩、下片、下片夹纱面，其特征在于上片的上片夹纱面设有若干条细槽；下片的下片夹纱面设有若干条细槽，下片的凸肩通过上片安装穿孔安装在一起，上片夹纱面与相对应下片夹纱面贴合在一起。	('CN2858688Y', '^_^(包括, 上片);^_^(安装, 穿孔);^_^(凸肩, 下片);^_^(下片, 下片);(设有, 细槽);(设有, 细槽);(下片, 凸肩);(凸肩, 安装, 穿孔);(安装在, 一起);(贴合在, 一起)')	1	1	1	1	447.3553991	28.8446346	28.79779494	1	0.08	1	1	1	1
6	CN2222722Y	、一种剑杆织机无废边装置，是由钢筘、筘座、上位轴、抽风机、右剑头纱罗边装置、左右边撑托脚组成，其特征在于：在左右边撑托脚中靠偏心螺母固有活动托脚，活动托脚上固有两根横向压杆，上面固有连接件、连接有缩短的左右边撑剌环、，其轴尾与边撑托脚距—，在左边撑托脚右侧有加长的左剪刀和纱罗边装置，左侧有吸嘴和纬纱钳，吸嘴由吸管与储纬器、抽风机相连，纬纱钳上压触有连杆，靠上位轴上的凸轮通过连杆、转子控制开闭，连杆由托脚固定在织机上，在左侧筘座上装有打纬杆，在右边撑托脚右侧装有吸嘴和纬纱钳及其与左侧相同的凸轮、转子、连杆控制机构，在右边撑左侧装有加长的右剪刀和纱罗边装置，在右侧钢筘上固有右吸嘴，吸嘴对面设有吹气嘴。	('CN2222722Y', '^_^(剑杆织机, 无废边装置);(活动, 托脚);(有, 撑剌环);(撑, 剌环);(托, 脚距);(加长, 剪刀);(有, 剪刀);(有, 吸嘴);(吸嘴由, 吸管);(有, 连杆);(控制, 开闭);(连杆, 固定在, 织机);(有, 打纬杆);(有, 吸嘴);(侧装, 有, 加长右剪刀装置);(吸嘴, 设有, 吹气嘴)')	CN2858688Y	、一种剑杆织机剑头上的夹纱器结构，它包括上片、安装穿孔、上片夹纱面、凸肩、下片、下片夹纱面，其特征在于上片的上片夹纱面设有若干条细槽；下片的下片夹纱面设有若干条细槽，下片的凸肩通过上片安装穿孔安装在一起，上片夹纱面与相对应下片夹纱面贴合在一起。	('CN2858688Y', '^_^(包括, 上片);^_^(安装, 穿孔);^_^(凸肩, 下片);^_^(下片, 下片);(设有, 细槽);(设有, 细槽);(下片, 凸肩);(凸肩, 安装, 穿孔);(安装在, 一起);(贴合在, 一起)')	8.333333333	8	8	8	906.0632763	69.73404659	69.61366534	8	0.049230769	8	8	8	8
7	CN2553027Y	、一种天花板，由铝塑复合板制成，其特征在于铝塑复合板选用双面贴膜的板材，由铝板、高分子薄膜、塑料板、高分子薄膜、铝板顺次五层构成，其主面板为正方形或矩形，主面板的至少一对对边具有折边，折边的高度为～，折边与主面板的夹角在～°之间，折边上具有定位结构。	('CN2553027Y', '^_^(复合板, 制成);(复合板, 选用, 贴膜);(五层, 构成);(面板, 具有, 折边);(具有, 定位结构)')	CN2690496Y	、一种三防双面型吊顶装饰板，包括基材和固定在基材底部的下薄板，其特征在于：在基材顶部固定有上薄板，在基材的四边固定有防水边层，防水边层的宽度大于基材四边的宽度并在上薄板和下薄板上均折有包边。	('CN2690496Y', '^_^(包括, 基材);^_^(固定, 薄板);(上, 薄板);(有, 边层);(宽度, 大于, 宽度);(有, 包边)')	2.5	2.5	3	2.333333333	227.6113929	11.16000771	11.0739481	2	0.12	2	2	2	2
8	CN2211467Y	、一种用改良的周边材及收边线板的天花板，其特征在于该天花板包含：至少一个以上的周边材，该周边材固定于墙角四周，各周边材具有一匚形框，其恰可供横材末端插置，于该匚形框底部角端沿其长度方向一体则设有一供插部，该供插部自底部往上设有一卡接槽，且该卡接槽底部中央有一用以将该卡接槽一分为二地分成两插置室的分隔体；至少一个以上收边线板，其具有一预定形状的体身，于该体身顶部角端长设有一挤插部，该挤插部由二相隔预定间隙的插柱组成；借助上述构件的组成，该等周边材可供横材末端快速插置，而该等收边饰条可各以其二插柱挤入于该各周边材的两插置室中，并受该分隔体迫紧而与该各周边材稳固结合。	('CN2211467Y', '^_^(收边, 线板);(天花板, 包含, 边材);(周边材, 固定于, 墙角);(周边材, 具有, 形框);(可供, 末端);(供, 插部);(设有, 插部);(供, 插部);(设有, 卡接槽);(插, 分隔体);(分成, 分隔体);(卡接槽, 为, 分隔体);(中央, 有, 分隔体);(插, 置室);(收边, 线板);(具有, 形状);(挤, 插部);(挤, 插部);(借助, 构件);(周边材, 可供, 横材);(挤入于, 周边材);(受, 该分隔体迫)')	CN2690496Y	、一种三防双面型吊顶装饰板，包括基材和固定在基材底部的下薄板，其特征在于：在基材顶部固定有上薄板，在基材的四边固定有防水边层，防水边层的宽度大于基材四边的宽度并在上薄板和下薄板上均折有包边。	('CN2690496Y', '^_^(包括, 基材);^_^(固定, 薄板);(上, 薄板);(有, 边层);(宽度, 大于, 宽度);(有, 包边)')	6.8	6.5	8	5.916666667	946.8128522	65.19395763	64.9641626	5.00117338	0.104285714	5	5	5.015075504	5.058420878
9	CN2483161Y	一种树皮复合板，包括树皮板，，采用实木材制成的加强板，树皮板，上设有加强固定条，其特征是：树皮板，的两边分别设有包边板，加强板设于树皮板，中间。	('CN2483161Y', '^_^(包括, 树皮板);^_^(实木材, 制成, 加强板);^_^(采用, 加强板);^_^(加强, 固定条);^_^(设有, 固定条);(设有, 包边板);(加强板, 设于, 树皮板)')	CN2690496Y	、一种三防双面型吊顶装饰板，包括基材和固定在基材底部的下薄板，其特征在于：在基材顶部固定有上薄板，在基材的四边固定有防水边层，防水边层的宽度大于基材四边的宽度并在上薄板和下薄板上均折有包边。	('CN2690496Y', '^_^(包括, 基材);^_^(固定, 薄板);(上, 薄板);(有, 边层);(宽度, 大于, 宽度);(有, 包边)')	3.35	3.5	5.5	2.583333333	188.4826996	13.57557503	13.47436736	1.5	0.193846154	1.5	1.5	1.5	1.5
