0,pubid,applicants,title,fieldWords,funcWords,problemWords,techWords,similar
1,CN85100284A,北京大学,光调制自动光测弹性应力的方法和装置,光调制|自动|力学|弹性|光测|应力,提高动|提高程度|提高性|提高化|提高精度|提高量|提高应力|提高力|提高光|提高弹性|提高弹性度|自动化程度|自动化|提高度|高自动化,,力学|弹性|光测,100.0
2,CN85100894A,机械工业部北京机械工业自动化研究所,用于多齿分度装置，特别是用于多齿分度盘的弹性端齿盘组,特别|齿盘|弹性|弹性端|分度盘|精密|分度,提高度|提高弹性|提高性|提高弹性度,,精密|分度|弹性|齿端,62.77777777777777
3,CN85100894B,机械工业部北京机械工业自动化研究所,用于多齿分度装置，特别是用于多齿分度盘的弹性齿端齿盘组,特别|齿盘|弹性|齿端|分度盘|分度,提高度|提高弹性|提高性|提高弹性度,,精密|分度|弹性|齿端,62.77777777777777
4,CN85103210A,西安交通大学,利用全息共轭像测量物体表面位移的方法,力学测量|测量物体|分类法|国际|光测|全息|干涉|全息共轭|表面位移,提高度|提高量|提高精度,,力学测量|分类法|国际|光测|全息|干涉,61.666666666666664
5,CN85100321B,大连海运学院,油垫活塞柴油机,柴油机|连杆小端|距离|弹性|环节|内燃机|气缸盖|活塞式|油垫|活塞,提高热|提高性|自动地|提效率|提性能|方便地|方便地调节|方便地收|自动提高|低提高|自提高|降低动|改善性|提高性能|降低时|效率性能|方便地放|方便地升|降低压缩比|方便地加|方便地输|降低比|方便地访|能方便地|提高能|能方便|效率性|提高效|提高率|压方便|提高压缩比|提高负荷|性方便|方便行|环刚度|方便地测|方便地育|效率低|降低高压|方便加|方便地运行|方便地撑|提高比|提高低|提高热效|方便运行|达效率,,连杆小端|距离|弹性|环节|内燃机|气缸盖|活塞式|活塞,59.444444444444436
6,CN85200029U,清华大学,方向盘测力仪,测力|方向盘|工程车辆|转向|方向盘式|汽车|轻便性|试验,提高方便|测量方便|提高性|测量精度|提高精度|操方便|提高度方便|提高量|精度方便|提高操性性|操作方便|精度性|高方便|提高度,,工程车辆|转向|方向盘式|汽车|轻便性|试验,54.44444444444445
7,CN85100717A,中国科学院声学研究所,表面声波沟槽谐振器的制作工艺,沟槽|表面声波|制作工艺|谐振器|SAW,紫外线光|提高能|提高率|提高力|提分辨率|提高光|提高分辨度|提高能力|提高分辨率|提高度|提高精度,,表面声波|SAW|器件,54.44444444444445
8,CN85100043B,清华大学,假手自动换速增力机构,假手|自动|换速|康复|增力机构,,,动力式|康复,54.166666666666664
9,CN85101998A,何平平,加有一种放音控制电路的盒式磁带录音机,电路|自动|放音控制|盒式磁带|录音机,提高准确|提高准确性|准确性|提高性|强能力|提高准|高准确|加强能力,,录音机|自动,53.888888888888886
10,CN85100169B,中南制药机械厂,旁滤式自动离心机,固渣|自动|离心机|粘性|旁滤|细粒,高效易于操|易于操佳|高效离心|高易于操|完全自动|高效再生|高效分离|控制系统|完自动化|高自动化|固高效|易于操作|完全自动化|高效易|无控制系统|高易于|固紧强|外控制系统|高效自动化|性高效|完全动,,固渣|分离|自动|粘性|旁滤|细粒,53.888888888888886
11,CN85200347U,华中工学院,气液螺旋压力机,气液|螺旋压力机,提高动|机械自动化|化自动化|提效率|提高效|提高率|易于实现|提高速度|提高打|提高度,,,53.33333333333333
12,CN85200008U,天津大学,声光Q开关YAG激光器输出功率稳定装置,输出功率|声光Q|激光器|YAG,实结构简单|提高光功率|具有简单|功率稳定|本实用简单|成本低|本结构简单|实用简单|率稳定|有结构简单|高稳定|提高稳定|提高率|用结构简单|提高光|本用简单|结构简单|构简单|提高度|提高功率|输出稳定|光功率,,,53.33333333333333
13,CN86102002A,沈阳工业学院$$北安庆华工具厂,硅溶胶、水玻璃复合型壳,硅溶胶|水玻璃|复合型,提高性能|提高性|提高能|提性能|环境污染|提高型|易污染|提高量,,,53.33333333333333
14,CN85102187A,交通部上海船舶运输科学研究所,抓斗自动稳零装置,抓斗|自动,操方便|技术问题|输出信号|操作方便|用起重机,,自动,52.77777777777777
15,CN85100169A,中南制药机械厂,旁滤式自动离心机,固渣|自动|离心机|粘性|旁滤|细粒,固紧强|固高效|易于操作|高效分离|控制系统|易于操佳|性高效,,固渣|自动|高效分离|粘性|旁滤|细粒,52.77777777777777
16,CN85102439A,方大同,强应力定位万能顶尖,万能|顶尖|机械加工|定位|应力|中心定位,结构成本低|方便成本低|构简单方便|制成本低|成本低|简单低|简单便|制造方便|简单成本|方便成|单成本低|结构成本|简单制方便|方便低|结构方便|结构简单|构简单|简单方便|简单成本低|简单制|制造成本|方便成本|制造成本低|简单制造,,机械加工|固定|中心定位,52.77777777777777
17,CN85200873U,邢天明,密码防盗防火报警装置,防火报警|无线对讲|自动|发出|报警信号|密码防盗,实用码,,无线对讲|自动|发出|室内防盗|报警信号,52.77777777777777
18,CN85200228U,机械工业部济南铸造锻压机械研究所,弹性衬圈混料机,分离|衬圈|混合|弹性|铸造|混料机,提效率|大节省|提高效|节省功率|节省机,,分离|混合|铸造,52.77777777777777
19,CN85200431U,张腾广,厕所节水自动冲刷水龙头,冲刷|水龙头|厕所节水|自动,构造简单|构简单,,厕所|自动,52.77777777777777
20,CN85101968A,何平平,一种盒式磁带录音机全自停电路,盒式磁带|录音机|自动|自停电,降低成本|电磁铁|降成本,,盒式磁带|录音机|自动,52.77777777777777
21,CN85105365B,冶金工业部第五冶金建设公司$$冶金工业部自动化研究所,车用侧置气门汽油发动机的闭缸节油装置,气门|闭缸节油|车用|车用汽油|汽油发动机,提高动|较提高|提高性|提性能|本提高性能|提高经济性|提高用|提高性能|大提高性|显著降|提高能|用提高性能|较大提高|显著降低|地提高性|大提高|经济性|大提高性能|地提高|幅度提高|提高经济,,发动机|车用汽油,52.22222222222222
22,CN85103426A,兵器工业部第二零七研究所,金属-聚四氟乙烯管状加热装置及其制造方法,薄膜层|电加热|制造|金属管|蒙覆|塑料化|加固|表面|封装|加热|聚四氟乙烯|金属|管状,提高热|提高性能|提高性性能|提高性|提高能|提高化|提性能|加性能|提高耐|提高绝缘性,,薄膜层|电加热|金属管|蒙覆|塑料化|加固|表面|封装|聚四氟乙烯,52.22222222222222
23,CN85105365A,冶金工业部第五冶金建设公司$$冶金工业部自动化研究所,车用侧置气门汽油发动机的闭缸节油装置,气门|闭缸节油|车用|车用汽油|汽油发动机,提高动|较提高|提高性|提性能|本提高性能|提高经济性|提高用|提高性能|大提高性|显著降|提高能|用提高性能|较大提高|显著降低|地提高性|大提高|经济性|大提高性能|地提高|幅度提高|提高经济,,发动机|车用汽油,52.22222222222222
