type,tfidf_cnt,tfidf&tar_cnt,tech_cnt,tech&tar_cnt,agentList_cnt,problem_cnt,problem&tar_cnt,func_cnt,func&tar_cnt,applicantFirst,target
1,30,0,38,0,1,1,0,7,0,123,1
1,30,0,58,0,1,1,0,10,0,中山大学,1
1,30,0,86,0,1,3,0,12,0,西南科技大学,0
1,30,0,1,0,1,1,0,1,0,北京众星智联科技有限责任公司,1
1,30,0,129,0,1,1,0,36,0,祁阳县大联网科学技术信息服务有限公司,1
1,30,0,37,0,2,1,0,8,0,科大讯飞股份有限公司,1
1,30,0,29,0,2,19,0,9,0,聚熵信息技术(上海)有限公司,1
1,30,0,95,0,1,36,0,10,0,北京数字跃动科技有限公司,1
1,30,0,50,0,1,20,0,6,0,北京谛听机器人科技有限公司,1
1,1,0,75,0,1,25,0,13,0,重庆光电信息研究院有限公司,0
1,30,0,83,0,2,18,0,14,0,上海劲牛信息技术有限公司,1
0,30,0,55,0,1,1,0,6,0,好人生(上海)健康科技有限公司,1
1,30,0,60,0,2,1,0,8,0,科大讯飞股份有限公司,1
1,30,0,172,0,1,1,0,45,0,利诚服装集团股份有限公司,1
1,30,0,92,0,1,37,0,11,0,佛山职业技术学院,1
1,30,0,95,0,1,1,0,11,0,广州舜飞信息科技有限公司,1
1,30,1,91,1,1,31,1,18,0,张湘安,0
1,30,0,86,0,1,1,0,13,0,山东体育学院,1
1,29,0,38,0,1,1,0,5,0,青岛海尔软件有限公司,1
1,30,0,66,0,1,1,0,10,0,同方知网(北京)技术有限公司,1
1,30,0,39,0,2,19,0,15,0,民航成都信息技术有限公司,0
1,1,0,119,0,2,32,0,23,0,水利部交通运输部国家能源局南京水利科学研究院,1
1,1,0,119,0,1,1,0,23,0,王珣昱,0
1,30,0,57,0,1,24,0,6,0,竹间智能科技(上海)有限公司,1
1,30,0,64,0,1,1,0,25,0,中国科学院沈阳自动化研究所,0
1,30,0,66,0,2,1,0,1,0,英特尔公司,1
1,30,0,48,0,2,20,0,15,0,民航成都信息技术有限公司,0
1,30,0,110,0,1,29,0,22,0,南京小网科技有限责任公司,1
1,30,0,47,0,1,1,0,7,0,重庆市农业科学院,1
1,30,0,61,0,2,1,0,1,0,英特尔公司,1
1,30,0,303,0,1,120,0,31,0,王伟,1
1,1,0,54,0,1,1,0,13,0,弗徕威智能机器人科技(上海)有限公司,1
1,30,0,109,0,1,1,0,24,0,赵蒙海,0
1,30,0,87,0,1,1,0,20,0,华北理工大学,1
1,30,0,102,0,1,1,0,27,0,常州节安得能源科技有限公司,0
1,30,0,249,0,1,1,0,56,0,江苏节安得能源科技有限公司,1
1,1,0,45,0,1,1,0,8,0,北京中科智营科技发展有限公司,1
